รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
GO1DLU5NDLUPN250405,29,1450
GO1DLU5NDLUPN250410,18,900
GO1DLU5NDLUPN250410B,16,800
GO1DLU5NDLUPN250412,23,1150
GO1DLU5NDLUPN250417,30,1500
GO1DLU5NDLUPN250424,23,1150
GO1DLU5NDLUPN250424B,20,1000
GO1DLU5NDLUPN250501,19,950
GO1DLU5NDLUPN250508A,19,950
GO1DLU5NDLUPN250508B,27,1350
GO1DLU5NDLUPN250510A,18,900
GO1DLU5NDLUPN250510B,28,1400
GO1DSN4NDSNFD250924,14,700
GO1DSN4NDSNFD251022,11,550
GO1DSN5NDSNFD250808,24,1200
GO1DSN5NDSNFD250817,17,850
GO1DSN5NDSNFD250822,24,1200
GO1DSN5NDSNFD250831,14,700
GO1DSN5NDSNFD250919B,14,700
GO1DSN5NDSNFD250928,16,800
GO1DSN5NDSNFD250928B,12,600
GO1DSN5NDSNFD251012,14,700
GO1DSN5NDSNFD251017TR,25,1250
GO1DSN5NDSNFD251026,13,650
GO1DSN5NDSNFD251031,13,650
GO1ENH5NENHSL251025,12,600
GO1ENH5NENHSL251030,19,950
GO1ENH5NENHSL251113,19,950
GO1ENH5NENHSL251122TR,19,950
GO1ENH5NENHSL251127,19,950
GO1ENH5NENHSL251206,19,950
GO1ENH5NENHSL251220,19,950
GO1HGH4NHGHCA250211,14,700
GO1HGH4NHGHCA250226,15,750
GO1HGH4NHGHCA250326,13,650
GO1HGH4NHGHCA250410,23,1150
GO1HGH4NHGHCA250411,25,1250
GO1HGH4NHGHCA250412,24,1200
GO1HGH4NHGHCA250514,16,800
GO1HGH4NHGHCA250528,19,950
GO1HGH4NHGHCA251105,8,400
GO1HGH4NHGHCA251119,18,900
GO1HGH4NHGHCA251203,11,550
GO1HGH4NHGHCA251210,21,1050
GO1HGH4NHGHCA251217-2,19,950
GO1HGH4NHGHCA251224,18,900
GO1HGH4NHGHCA251229,24,1200
GO1HGH4NHGHCA251229A,24,1200
GO1HGH4NPEKCA250116,19,950
GO1HGH4NPEKCA250304,23,1150
GO1HGH4NPEKCA250306TR,23,1150
GO1HGH4NPEKCA250311,19,950
GO1HGH4NPEKCA250325,24,1200
GO1HGH4NPEKCA250509,14,700
GO1HGH4NPEKCA250613,14,700
GO1HRB5NHRBCA251227,24,1200
GO1HRB5NHRBCA251228,23,1150
GO1HRB5NHRBCA251229,23,1150
GO1HRB5NHRBCA251230,24,1200
GO1HRB5NHRBCZ250105,9,450
GO1HRB5NHRBCZ250113A,3,150
GO1HRB5NHRBCZ250113C,7,350
GO1HRB6NHRBCZ250108,13,650
GO1KHG7NKHGCZ250830,19,950
GO1KHG7NKHGCZ250913,19,950
GO1KMG4NKMGMU250301,23,1150
GO1KMG4NKMGMU250314,23,1150
GO1KMG4NKMGMU250410,12,600
GO1KMG4NKMGMU250414,14,700
GO1KMG4NKMGMU250529,13,650
GO1KMG4NKMGMU250724,13,650
GO1KMG4NKMGMU250910,8,400
GO1KMG4NKMGMU250924,11,550
GO1KMG4NKMGMU251009,8,400
GO1KMG4NKMGMU251010,23,1150
GO1KMG4NKMGMU251011,26,1300
GO1KMG4NKMGMU251016,23,1150
GO1KMG4NKMGMU251017,23,1150
GO1KMG4NKMGMU251105,22,1100
GO1KMG4NKMGMU251112,32,1600
GO1KMG4NKMGMU251115,23,1150
GO1KMG4NKMGMU251119,11,550
GO1KMG4NKMGMU251203,24,1200
GO1KMG4NKMGMU251210,24,1200
GO1KMG4NKMGMU251217A,8,400
GO1KMG4NKMGMU251224,24,1200
GO1KMG4NKMGTG250301,13,650
GO1KMG4NKMGTG250307A,24,1200
GO1KMG4NKMGTG250313A,23,1150
GO1KMG4NKMGTG250320,19,950
GO1KMG4NKMGTG250321,16,800
GO1KMG4NKMGTG250404,12,600
GO1KMG4NKMGTG250405,14,700
GO1KMG4NKMGTG250419,17,850
GO1KMG4NKMGTG250424,23,1150
GO1KMG4NKMGTG250425,18,900
GO1KMG4NKMGTG250509,18,900
GO1KMG4NKMGTG250515,12,600
GO1KMG4NKMGTG250522,17,850
GO1KMG4NKMGTG250524,12,600
GO1KMG4NKMGTG250530,19,950
GO1KMG4NKMGTG250531,11,550
GO1KMG4NKMGTG250607,14,700
GO1KMG4NKMGTG250613,24,1200
GO1KMG4NKMGTG250709,17,850
GO1KMG4NKMGTG250710,17,850
GO1KMG4NKMGTG250808,21,1050
GO1KMG4NKMGTG250809,9,450
GO1KMG4NKMGTG250918,10,500
GO1KMG4NKMGTG251009,19,950
GO1KMG4NKMGTG251011,19,950
GO1KMG4NKMGTG251015,17,850
GO1KMG4NKMGTG251022,19,950
GO1KMG4NKMGTG251023,18,900
GO1KMG4NKMGTG251025,11,550
GO1KMG4NKMGTG251030,18,900
GO1KMG4NKMGTG251203,26,1300
GO1KMG4NKMGTG251204,23,1150
GO1KMG4NKMGTG251220,13,650
GO1KMG4NKMGTG251224,9,450
GO1KMG4NKMGTG251228,23,1150
GO1KMG4NKMGTG251231,23,1150
GO1KMG5NKMGFD250110,24,1200
GO1KMG5NKMGFD250211,24,1200
GO1KMG5NKMGFD250212A,27,1350
GO1KMG5NKMGFD250220,24,1200
GO1KMG5NKMGFD250222,26,1300
GO1KMG5NKMGFD250227,23,1150
GO1KMG5NKMGFD250228,23,1150
GO1KMG5NKMGFD250301,24,1200
GO1KMG5NKMGFD250305,19,950
GO1KMG5NKMGFD250306,25,1250
GO1KMG5NKMGFD250307,24,1200
GO1KMG5NKMGFD250308,24,1200
GO1KMG5NKMGFD250311,24,1200
GO1KMG5NKMGFD250313,30,1500
GO1KMG5NKMGFD250315,23,1150
GO1KMG5NKMGFD250315A,25,1250
GO1KMG5NKMGFD250319,24,1200
GO1KMG5NKMGFD250322,24,1200
GO1KMG5NKMGFD250322TR,36,1800
GO1KMG5NKMGFD250325,24,1200
GO1KMG5NKMGFD250327,25,1250
GO1KMG5NKMGFD250410,24,1200
GO1KMG5NKMGFD250412,24,1200
GO1KMG5NKMGFD250419,16,800
GO1KMG5NKMGFD250508,16,800
GO1KMG5NKMGFD250521,9,450
GO1KMG5NKMGFD250531A,18,900
GO1KMG5NKMGFD250612A,16,800
GO1KMG5NKMGFD250626A,8,400
GO1KMG5NKMGFD251028TR,24,1200
GO1KMG5NKMGFD251122,14,700
GO1KMG5NKMGFD251126,23,1150
GO1KMG5NKMGFD251203,19,950
GO1KMG5NKMGFD251204,24,1200
GO1KMG5NKMGFD251205,24,1200
GO1KMG5NKMGFD251209,7,350
GO1KMG5NKMGFD251227,16,800
GO1KMG5NKMGFD251230,24,1200
GO1KMG5NKMGFD251231,10,500
GO1KMG5NKMGMU250411,26,1300
GO1KMG5NKMGMU250912,23,1150
GO1KMG5NKMGMU250919,14,700
GO1KMG5NKMGMU251009,23,1150
GO1KMG5NKMGMU251011,24,1200
GO1KMG5NKMGMU251017,24,1200
GO1KMG5NKMGMU251022,24,1200
GO1KMG5NKMGMU251025,19,950
GO1KMG5NKMGMU251107,23,1150
GO1KMG5NKMGMU251121,14,700
GO1KMG5NKMGMU251226,24,1200
GO1KMG5NKMGMU251228,24,1200
GO1KMG5NKMGMU251230,24,1200
GO1KMG5NKMGMU251231,13,650
GO1KMG5NKMGTG250117,9,450
GO1KMG5NKMGTG250211,25,1250
GO1KMG5NKMGTG250218,18,900
GO1KMG5NKMGTG250225,25,1250
GO1KMG5NKMGTG250227,19,950
GO1KMG5NKMGTG250228,21,1050
GO1KMG5NKMGTG250308,20,1000
GO1KMG5NKMGTG250311,18,900
GO1KMG5NKMGTG250319,17,850
GO1KMG5NKMGTG250320,23,1150
GO1KMG5NKMGTG250327,23,1150
GO1KMG5NKMGTG250402,19,950
GO1KMG5NKMGTG250403,19,950
GO1KMG5NKMGTG250404,22,1100
GO1KMG5NKMGTG250405,14,700
GO1KMG5NKMGTG250410,23,1150
GO1KMG5NKMGTG250418,18,900
GO1KMG5NKMGTG250419,16,800
GO1KMG5NKMGTG250426,19,950
GO1KMG5NKMGTG250429,26,1300
GO1KMG5NKMGTG250430,22,1100
GO1KMG5NKMGTG250501,12,600
GO1KMG5NKMGTG250503,24,1200
GO1KMG5NKMGTG250507,23,1150
GO1KMG5NKMGTG250508,19,950
GO1KMG5NKMGTG250510,24,1200
GO1KMG5NKMGTG250517,22,1100
GO1KMG5NKMGTG250523,16,800
GO1KMG5NKMGTG250529,11,550
GO1KMG5NKMGTG250531,27,1350
GO1KMG5NKMGTG250603A,11,550
GO1KMG5NKMGTG250610,19,950
GO1KMG5NKMGTG250624,19,950
GO1KMG5NKMGTG250708,11,550
GO1KMG5NKMGTG250710,17,850
GO1KMG5NKMGTG250723,20,1000
GO1KMG5NKMGTG250726,16,800
GO1KMG5NKMGTG250807,18,900
GO1KMG5NKMGTG250812,18,900
GO1KMG5NKMGTG250830,11,550
GO1KMG5NKMGTG250916,14,700
GO1KMG5NKMGTG250919,21,1050
GO1KMG5NKMGTG250923,24,1200
GO1KMG5NKMGTG251008,24,1200
GO1KMG5NKMGTG251009,24,1200
GO1KMG5NKMGTG251010,23,1150
GO1KMG5NKMGTG251011,25,1250
GO1KMG5NKMGTG251016,24,1200
GO1KMG5NKMGTG251017,24,1200
GO1KMG5NKMGTG251018,24,1200
GO1KMG5NKMGTG251021,24,1200
GO1KMG5NKMGTG251022TR,23,1150
GO1KMG5NKMGTG251023A,27,1350
GO1KMG5NKMGTG251023B,23,1150
GO1KMG5NKMGTG251024,24,1200
GO1KMG5NKMGTG251025,23,1150
GO1KMG5NKMGTG251028,24,1200
GO1KMG5NKMGTG251030,22,1100
GO1KMG5NKMGTG251031,23,1150
GO1KMG5NKMGTG251101,24,1200
GO1KMG5NKMGTG251104A,24,1200
GO1KMG5NKMGTG251104B,23,1150
GO1KMG5NKMGTG251106A,24,1200
GO1KMG5NKMGTG251106B,25,1250
GO1KMG5NKMGTG251111,21,1050
GO1KMG5NKMGTG251113,24,1200
GO1KMG5NKMGTG251118,15,750
GO1KMG5NKMGTG251125,20,1000
GO1KMG5NKMGTG251204,24,1200
GO1KMG5NKMGTG251205,24,1200
GO1KMG5NKMGTG251209,24,1200
GO1KMG5NKMGTG251210,27,1350
GO1KMG5NKMGTG251213,17,850
GO1KMG5NKMGTG251218,9,450
GO1KMG5NKMGTG251225,27,1350
GO1KMG5NKMGTG251227A,24,1200
GO1KMG5NKMGTG251227B,20,1000
GO1KMG5NKMGTG251228,21,1050
GO1KMG5NKMGTG251229,23,1150
GO1KMG5NKMGTG251230,23,1150
GO1KMG5NKMGTG251231,24,1200
GO1LHW6NLHWMU250515,21,1050
GO1LHW6NLHWMU250522,21,1050
GO1LHW6NLHWMU250529A,21,1050
GO1LHW6NLHWMU250529B,21,1050
GO1LHW6NLHWMU250605,18,900
GO1LHW6NLHWMU250605J,16,800
GO1LHW6NLHWMU250612,21,1050
GO1LHW6NLHWMU250619,21,1050
GO1LHW6NLHWMU250626,21,1050
GO1LHW6NLHWMU250626V,21,1050
GO1LHW6NLHWMU250703A,21,1050
GO1LHW6NLHWMU250703B,21,1050
GO1LHW6NLHWMU250703J,21,1050
GO1LHW6NLHWMU250710A,21,1050
GO1LHW6NLHWMU250710B,21,1050
GO1LHW6NLHWMU250710V,19,950
GO1LHW6NLHWMU250717B,21,1050
GO1LHW6NLHWMU250717C,21,1050
GO1LHW6NLHWMU250717J,21,1050
GO1LHW6NLHWMU250724A,21,1050
GO1LHW6NLHWMU250724C,13,650
GO1LHW6NLHWMU250724V,20,1000
GO1LHW6NLHWMU250731A,21,1050
GO1LHW6NLHWMU250731B,12,600
GO1LHW6NLHWMU250807B,17,850
GO1LHW6NLHWMU250807V,23,1150
GO1LHW6NLHWMU250814,21,1050
GO1LHW6NLHWMU250814J,20,1000
GO1LHW6NLHWMU250821A,21,1050
GO1LHW6NLHWMU250821B,21,1050
GO1LHW6NLHWMU250821C,3,150
GO1LHW6NLHWMU250821V,20,1000
GO1LHW6NLHWMU250828A,7,350
GO1LHW6NLHWMU250828B,21,1050
GO1LHW6NLHWMU250828C,1,50
GO1LHW6NLHWMU250828J,21,1050
GO1LHW6NURCCZ250411,15,750
GO1LHW6NURCCZ250531,15,750
GO1LHW6NURCCZ250913,17,850
GO1LJG4NLJGDR250422,23,1150
GO1LJG4NLJGDR250506,19,950
GO1LJG4NLJGDR250513,19,950
GO1LJG4NLJGDR250520,19,950
GO1LJG4NLJGDR250527,19,950
GO1LJG4NLJGDR250603,18,900
GO1LJG4NLJGDR250610,19,950
GO1LJG4NLJGDR250617,18,900
GO1LJG4NLJGDR250701,9,450
GO1LJG4NLJGDR250708,18,900
GO1LJG4NLJGDR250722,11,550
GO1LJG4NLJGDR250729,18,900
GO1LJG4NLJGDR250812,13,650
GO1LJG5NLJGDR250510,16,800
GO1LJG5NLJGDR250522,19,950
GO1LJG5NLJGDR250531,12,600
GO1LJG5NLJGDR250619,14,700
GO1LJG5NLJGDR250807A,16,800
GO1LJG5NLJGDR250809A,16,800
GO1LJG5NLJGDR250927TR,15,750
GO1LJG5NLJGDR251011,15,750
GO1NNG3NNNGGX250417,14,700
GO1NNG3NNNGGX250531A,19,950
GO1NNG3NNNGGX250605,15,750
GO1NNG3NNNGGX250626,11,550
GO1NNG3NNNGGX251010,19,950
GO1NNG3NNNGGX251016,14,700
GO1NNG3NNNGGX251023A,19,950
GO1NNG3NNNGGX251024,19,950
GO1NNG3NNNGGX251114,22,1100
GO1NNG3NNNGGX251123,19,950
GO1NNG3NNNGGX251207,19,950
GO1NNG3NNNGGX251214,18,900
GO1NNG3NNNGGX251226,20,1000
GO1NNG3NNNGGX251228,17,850
GO1NNG3NNNGGX251231,19,950
GO1NNG4NNNGGX250920,13,650
GO1NNG4NNNGGX251011A,16,800
GO1NNG4NNNGGX251015A,20,1000
GO1NNG4NNNGGX251018A,18,900
GO1NNG4NNNGGX251022A,19,950
GO1NNG4NNNGGX251025A,26,1300
GO1NNG5NNNGGX250308,19,950
GO1PEK3NPEKCA250212,14,700
GO1PEK3NPEKCA250227,13,650
GO1PEK3NPEKCA250304,9,450
GO1PEK3NPEKCA250313-1,19,950
GO1PEK3NPEKCA250318,19,950
GO1PEK3NPEKCA250320,19,950
GO1PEK3NPEKCA250325-1,14,700
GO1PEK3NPEKCA250326,23,1150
GO1PEK3NPEKCA250327,19,950
GO1PEK3NPEKCA250403,17,850
GO1PEK3NPEKCA250409,12,600
GO1PEK3NPEKCA250411,24,1200
GO1PEK3NPEKCA250412,24,1200
GO1PEK3NPEKCA250413-1,23,1150
GO1PEK3NPEKCA250417,19,950
GO1PEK3NPEKCA250509,18,900
GO1PEK3NPEKCA250515,9,450
GO1PEK3NPEKCA250619,8,400
GO1PEK3NPEKCA251015TR,24,1200
GO1PEK3NPEKCA251016TR,24,1200
GO1PEK3NPEKCA251022,24,1200
GO1PEK3NPEKCA251023,16,800
GO1PEK3NPEKCA251029,19,950
GO1PEK3NPEKCA251106,24,1200
GO1PEK3NPEKCA251120,20,1000
GO1PEK3NPEKCA251127,23,1150
GO1PEK3NPEKCA251203,26,1300
GO1PEK3NPEKCA251204,16,800
GO1PEK3NPEKCA251217TR,25,1250
GO1PEK3NPEKCA251224,23,1150
GO1PEK3NPEKCA251228,18,900
GO1PEK3NPEKCA251229,24,1200
GO1PEK3NPEKCA251230,23,1150
GO1PEK3NPEKHU250228,9,450
GO1PEK4NPEKTG250809,18,900
GO1PEK4NPEKTG250904,23,1150
GO1PEK4NPEKTG251009,14,700
GO1PEK4NPEKTG251010,20,1000
GO1PEK4NPEKTG251015,26,1300
GO1PEK4NPEKTG251016,9,450
GO1PEK4NPEKTG251017,12,600
GO1PEK4NPEKTG251022,22,1100
GO1PEK4NPEKTG251023,19,950
GO1PEK4NPEKTG251029,9,450
GO1PEK4NPEKTG251031,30,1500
GO1PEK4NPEKTG251106-1,23,1150
GO1PEK4NPEKTG251113-1,19,950
GO1PEK4NPEKTG251115,11,550
GO1PEK4NPEKTG251122-1,18,900
GO1PEK4NPEKTG251127-1,17,850
GO1PEK4NPEKTG251203,18,900
GO1PEK4NPEKTG251204-1,19,950
GO1PEK4NPEKTG251217,30,1500
GO1PEK4NPEKTG251218-1,18,900
GO1PEK4NPEKTG251220,12,600
GO1PEK4NPEKTG251224,23,1150
GO1PEK4NPEKTG251228,22,1100
GO1PEK4NPEKTG251229-1,23,1150
GO1PEK4NPEKTG251230,24,1200
GO1PEK4NPEKTG251231-1,24,1200
GO1PEK4NPVGCA251021,17,850
GO1PEK4NPVGCA251031,10,500
GO1PEK4NPVGCA251107,17,850
GO1PEK4NPVGCA251204,13,650
GO1PEK4NPVGCA251209TR,21,1050
GO1PEK4NPVGCA251217,11,550
GO1PEK4NPVGCA251230,24,1200
GO1PEK5NHGHCA250410,23,1150
GO1PEK5NHGHCA250413,24,1200
GO1PEK5NPVGTG250211,10,500
GO1PEK5NPVGTG250308,25,1250
GO1PEK5NPVGTG250405,24,1200
GO1PEK5NPVGTG250503,23,1150
GO1PEK5NPVGTG250510,21,1050
GO1PEK5NPVGTG250531,18,900
GO1PEK5NPVGTG250906,20,1000
GO1PEK5NPVGTG251011,23,1150
GO1PEK5NPVGTG251018,24,1200
GO1PEK5NPVGTG251023,23,1150
GO1PEK5NPVGTG251025,23,1150
GO1PEK5NPVGTG251108,24,1200
GO1PEK5NPVGTG251115,24,1200
GO1PEK5NPVGTG251122,25,1250
GO1PEK5NPVGTG251129,22,1100
GO1PEK5NPVGTG251204TR,31,1550
GO1PEK5NPVGTG251220,24,1200
GO1PEK5NPVGTG251227-1,13,650
GO1PEK5NPVGTG251228-1,23,1150
GO1PEK5NPVGTG251229-1,26,1300
GO1PEK5NPVGTG251230-1,13,650
GO1PVG3NPVGCA250109,24,1200
GO1PVG3NPVGCA250116,24,1200
GO1PVG3NPVGCA250213TR,29,1450
GO1PVG3NPVGCA250220,24,1200
GO1PVG3NPVGCA250227,24,1200
GO1PVG3NPVGCA250306,24,1200
GO1PVG3NPVGCA250313,25,1250
GO1PVG3NPVGCA250320,23,1150
GO1PVG3NPVGCA250327,25,1250
GO1PVG3NPVGCA250403,22,1100
GO1PVG3NPVGCA250409,24,1200
GO1PVG3NPVGCA250413,24,1200
GO1PVG3NPVGCA251029,24,1200
GO1PVG3NPVGCA251031,18,900
GO1PVG3NPVGCA251106,10,500
GO1PVG3NPVGCA251107-1,19,950
GO1PVG3NPVGCA251121-1,19,950
GO1PVG3NPVGCA251205-1,24,1200
GO1PVG3NPVGCA251218,13,650
GO1PVG3NPVGCA251224,14,700
GO1PVG3NPVGCA251228,24,1200
GO1PVG3NPVGCA251229,22,1100
GO1PVG3NPVGCA251230,24,1200
GO1PVG3NPVGFM250411,25,1250
GO1PVG3NPVGFM250412,20,1000
GO1PVG3NPVGFM250413,26,1300
GO1PVG3NPVGMU250221TR,23,1150
GO1PVG3NPVGMU250227TR,21,1050
GO1PVG3NPVGMU250305,20,1000
GO1PVG3NPVGMU250314-1,23,1150
GO1PVG3NPVGMU250319-1,24,1200
GO1PVG3NPVGMU250403,11,550
GO1PVG3NPVGMU250410,18,900
GO1PVG3NPVGMU250412,18,900
GO1PVG3NPVGMU250413,18,900
GO1PVG3NPVGMU250415,24,1200
GO1PVG3NPVGMU250418,24,1200
GO1PVG3NPVGMU250508,23,1150
GO1PVG3NPVGMU250516,9,450
GO1PVG3NPVGMU250529,9,450
GO1PVG3NPVGMU251106-1,24,1200
GO1PVG3NPVGMU251127-1,14,700
GO1PVG3NPVGMU251211-2,19,950
GO1PVG3NPVGMU251218-2,24,1200
GO1PVG3NPVGTG250808,15,750
GO1PVG3NPVGTG250912,14,700
GO1PVG3NPVGTG250919,11,550
GO1PVG3NPVGTG251015,24,1200
GO1PVG3NPVGTG251017,24,1200
GO1PVG3NPVGTG251024,24,1200
GO1PVG3NPVGTG251029,25,1250
GO1PVG3NPVGTG251030TR,24,1200
GO1PVG3NPVGTG251106,24,1200
GO1PVG3NPVGTG251119,23,1150
GO1PVG3NPVGTG251126,14,700
GO1PVG3NPVGTG251127,23,1150
GO1PVG3NPVGTG251203,10,500
GO1PVG3NPVGVZ250808,19,950
GO1PVG3NPVGVZ250809,19,950
GO1PVG3NPVGVZ250810,15,750
GO1PVG4NHGHCA250412,24,1200
GO1PVG4NHGHCA250413,24,1200
GO1PVG4NPEKCA250114,22,1100
GO1PVG4NPEKCA250219,12,600
GO1PVG4NPEKCA250226,8,400
GO1PVG4NPEKCA250314,23,1150
GO1PVG4NPEKCA250319,13,650
GO1PVG4NPEKCA250326-1,24,1200
GO1PVG4NPEKTG250213,10,500
GO1PVG4NPEKTG250220,13,650
GO1PVG4NPEKTG250313,18,900
GO1PVG4NPEKTG250320,24,1200
GO1PVG4NPEKTG250327,16,800
GO1PVG4NPEKTG250403,26,1300
GO1PVG4NPEKTG250409,24,1200
GO1PVG4NPEKTG250417,23,1150
GO1PVG4NPEKTG250424,24,1200
GO1PVG4NPEKTG250501,25,1250
GO1PVG4NPEKTG250508,25,1250
GO1PVG4NPEKTG250515,15,750
GO1PVG4NPEKTG250522,19,950
GO1PVG4NPEKTG250529,21,1050
GO1PVG4NPEKTG251008,16,800
GO1PVG4NPEKTG251010,14,700
GO1PVG4NPEKTG251017,20,1000
GO1PVG4NPEKTG251022,21,1050
GO1PVG4NPEKTG251105,20,1000
GO1PVG4NPEKTG251119,8,400
GO1PVG4NPEKTG251126,15,750
GO1PVG4NPEKTG251203,24,1200
GO1PVG4NPEKTG251217-1,13,650
GO1PVG4NPEKTG251218,14,700
GO1PVG4NPEKTG251224-1,24,1200
GO1PVG4NPEKTG251225,24,1200
GO1PVG4NPEKTG251229,24,1200
GO1PVG4NPVGFM250220,13,650
GO1PVG4NPVGFM250222,10,500
GO1PVG4NPVGFM250226,8,400
GO1PVG4NPVGFM250307TK,15,750
GO1PVG4NPVGFM250314,23,1150
GO1PVG4NPVGFM250320,19,950
GO1PVG4NPVGFM250327-1,23,1150
GO1PVG4NPVGFM250328,23,1150
GO1PVG4NPVGFM250328A,11,550
GO1PVG4NPVGFM250410,23,1150
GO1PVG4NPVGFM250417,10,500
GO1PVG4NPVGFM250521,24,1200
GO1PVG4NPVGFM250618,13,650
GO1PVG4NPVGFM250709,15,750
GO1PVG4NPVGFM250809,22,1100
GO1PVG4NPVGFM250924,10,500
GO1PVG4NPVGFM251009,23,1150
GO1PVG4NPVGFM251018,24,1200
GO1PVG4NPVGFM251025,24,1200
GO1PVG4NPVGFM251101,8,400
GO1PVG4NPVGFM251108,24,1200
GO1PVG4NPVGFM251115,24,1200
GO1PVG4NPVGFM251205,24,1200
GO1PVG4NPVGFM251210,23,1150
GO1PVG4NPVGFM251224,24,1200
GO1PVG4NPVGFM251228,19,950
GO1PVG4NPVGFM251229,18,900
GO1PVG4NPVGFM251230,19,950
GO1PVG4NPVGTG250526LN,12,600
GO1PVG4NPVGTG250710,24,1200
GO1PVG4NPVGTG250809,24,1200
GO1PVG4NPVGTG251009,24,1200
GO1PVG4NPVGTG251011,20,1000
GO1PVG4NPVGTG251017,22,1100
GO1PVG4NPVGTG251018,24,1200
GO1PVG4NPVGTG251023,23,1150
GO1PVG4NPVGTG251025,24,1200
GO1PVG4NPVGTG251031,21,1050
GO1PVG4NPVGTG251101,15,750
GO1PVG4NPVGTG251107,26,1300
GO1PVG4NPVGTG251108,11,550
GO1PVG4NPVGTG251115,24,1200
GO1PVG4NPVGTG251129,15,750
GO1PVG4NPVGTG251204,23,1150
GO1PVG4NPVGTG251205,24,1200
GO1PVG4NPVGTG251213,9,450
GO1PVG4NPVGTG251219,25,1250
GO1PVG4NPVGTG251220,24,1200
GO1PVG4NPVGTG251226,24,1200
GO1PVG4NPVGTG251230,23,1150
GO1PVG5NPEKTG250301,20,1000
GO1PVG5NPEKTG250315,24,1200
GO1PVG5NPEKTG250322,24,1200
GO1PVG5NPEKTG250329,25,1250
GO1PVG5NPEKTG250405,23,1150
GO1PVG5NPEKTG250410,24,1200
GO1PVG5NPEKTG250411,24,1200
GO1PVG5NPEKTG250419,24,1200
GO1PVG5NPEKTG250426,27,1350
GO1PVG5NPEKTG250503,21,1050
GO1PVG5NPEKTG250510,20,1000
GO1PVG5NPEKTG250531,15,750
GO1PVG5NPEKTG250621,12,600
GO1PVG5NPEKTG251015,24,1200
GO1PVG5NPEKTG251018,23,1150
GO1PVG5NPEKTG251022,11,550
GO1PVG5NPEKTG251023,20,1000
GO1PVG5NPEKTG251028,12,600
GO1PVG5NPEKTG251122,11,550
GO1PVG5NPEKTG251213-1,15,750
GO1PVG5NPEKTG251218,17,850
GO1PVG5NPEKTG251223-1,24,1200
GO1PVG5NPEKTG251225,24,1200
GO1PVG5NPEKTG251227,19,950
GO1PVG5NPEKTG251228,25,1250
GO1PVG5NPEKTG251229,28,1400
GO1PVG5NPEKTG251230,27,1350
GO1PVGMU251025TK,16,800
GO1SWA5NSWACZ250410,15,750
GO1SWA5NSWACZ250508,14,700
GO1SWA5NSWACZ250522,18,900
GO1SWA5NSWACZ251009,18,900
GO1SWA5NSWACZ251023,12,600
GO1TAO5NTAOQW251214,17,850
GO1TAO5NTAOQW251219,19,950
GO1TAO5NTAOQW251226,19,950
GO1TAO5NTAOQW251231,19,950
GO1TAO6NTAOQW251222,20,1000
GO1TFU3NTFUFD250320B,11,550
GO1TFU3NTFUFD250410B,19,950
GO1TFU3NTFUFD250709,19,950
GO1TFU3NTFUFD250724,19,950
GO1TFU3NTFUFD250725,19,950
GO1TFU3NTFUFD250808,18,900
GO1TFU3NTFUFD251017,10,500
GO1TFU3NTFUFD251107-1,9,450
GO1TFU3NTFUFD251203-1,29,1450
GO1TFU3NTFUFD251204-1,28,1400
GO1TFU3NTFUFD251205-1,20,1000
GO1TFU3NTFUFD251225-1TR,25,1250
GO1TFU3NTFUFD251226-1,19,950
GO1TFU3NTFUFD251230-1,29,1450
GO1TFU3NTFUSL250110,20,1000
GO1TFU3NTFUSL250220,19,950
GO1TFU3NTFUSL250227,14,700
GO1TFU3NTFUSL250304,19,950
GO1TFU3NTFUSL250305,19,950
GO1TFU3NTFUSL250311,22,1100
GO1TFU3NTFUSL250320A,10,500
GO1TFU3NTFUSL250320B,21,1050
GO1TFU3NTFUSL250322A,8,400
GO1TFU3NTFUSL250327A,13,650
GO1TFU3NTFUSL250329,20,1000
GO1TFU3NTFUSL250403,24,1200
GO1TFU3NTFUSL250405,19,950
GO1TFU3NTFUSL250405B,28,1400
GO1TFU3NTFUSL250410B,26,1300
GO1TFU3NTFUSL250412A,31,1550
GO1TFU3NTFUSL250424,19,950
GO1TFU3NTFUSL250608,12,600
GO1TFU3NTFUSL250615,21,1050
GO1TFU4NTFUCA251120,14,700
GO1TFU4NTFUCA251127,14,700
GO1TFU4NTFUCA251203,23,1150
GO1TFU4NTFUCA251212,23,1150
GO1TFU4NTFUCA251218,21,1050
GO1TFU4NTFUCA251224,18,900
GO1TFU4NTFUFD250402,9,450
GO1TFU4NTFUFD250410,24,1200
GO1TFU4NTFUFD250411,23,1150
GO1TFU4NTFUFD251014-1,17,850
GO1TFU4NTFUFD251015,13,650
GO1TFU4NTFUFD251019-1,24,1200
GO1TFU4NTFUFD251022,9,450
GO1TFU4NTFUFD251027-3,24,1200
GO1TFU4NTFUFD251029-3,13,650
GO1TFU4NTFUFD251030-1,19,950
GO1TFU4NTFUFD251107-1,13,650
GO1TFU4NTFUFD251108-1,16,800
GO1TFU4NTFUFD251204-1,16,800
GO1TFU4NTFUFD251205-1,22,1100
GO1TFU4NTFUFD251218-1,14,700
GO1TFU4NTFUFD251225-1,24,1200
GO1TFU4NTFUFD251226-1,24,1200
GO1TFU4NTFUFD251227-1,24,1200
GO1TFU4NTFUFD251228-1,25,1250
