รหัสทัวร์,จำนวนลูกค้า หัก หนท.,ยอดเบิก
FAMTFU5NTFUVZ250710,34,1700
G8CKG3NCKG3U250601,24,1200
G8CKG3NCKG3U250601B,13,650
G8CKG3NCKG3U250622,17,850
G8CKG3NCKG3U250623,19,950
G8CSX3NCSXFD250301,18,900
G8CSX3NCSXFD250308,20,1000
G8CSX3NCSXFD250313,14,700
G8CSX3NCSXFD250315,19,950
G8CSX3NCSXFD251107,19,950
G8CSX3NCSXFD251114,18,900
G8CSX3NCSXFD251121,31,1550
G8CSX3NCSXFD251128,18,900
G8CSX3NCSXFD251204,29,1450
G8CSX3NCSXFD251205TR,32,1600
G8CSX3NCSXFD251206,19,950
G8CSX3NCSXFD251207,9,450
G8CSX3NCSXFD251211,17,850
G8CSX3NCSXFD251212,13,650
G8CSX3NCSXFD251225,19,950
G8CSX3NCSXFD251229,25,1250
G8CSX3NCSXFD251230,29,1450
G8CSX3NCSXFD251231,29,1450
G8CSX3NCSXVZ250321,19,950
G8CSX4NCSXFD250413A,29,1450
G8CSX4NCSXFD250413B,19,950
G8CSX4NCSXFD250419,14,700
G8CSX4NCSXFD250424,19,950
G8CSX4NCSXFD250508,29,1450
G8CSX4NCSXFD250510,18,900
G8CSX4NCSXFD250521,12,600
G8CSX4NCSXFD250530A,20,1000
G8CSX4NCSXFD250611,19,950
G8CSX4NCSXFD250619,15,750
G8CSX4NCSXFD250626,10,500
G8CSX4NCSXFD250709,19,950
G8CSX4NCSXFD250710,13,650
G8CSX4NCSXFD250724TR,12,600
G8CSX4NCSXFD250726,15,750
G8CSX4NCSXFD250827,9,450
G8CSX4NCSXFD250913TR,21,1050
G8CSX4NCSXFD251022,18,900
G8CSX4NCSXVZ250108A,19,950
G8CSX4NCSXVZ250110A,13,650
G8CSX4NCSXVZ250112ATR,22,1100
G8CSX4NCSXVZ250209A,22,1100
G8CSX4NCSXVZ250223A,14,700
G8CSX4NCSXVZ250224A,18,900
G8CSX4NCSXVZ250228A,26,1300
G8CSX4NCSXVZ250314A,14,700
G8CSX4NCSXVZ250316A,8,400
G8CSX4NCSXVZ250321A,16,800
G8CSX4NCSXVZ250328A,14,700
G8CSX5NCSXSL250101,22,1100
G8CSX5NCSXSL250105,14,700
G8CSX5NCSXSL250112,18,900
G8CSX5NCSXSL250206,17,850
G8CSX5NCSXSL250211,27,1350
G8CSX5NCSXSL250216,14,700
G8CSX5NCSXSL250220,26,1300
G8CSX5NCSXSL250225,21,1050
G8CSX5NCSXSL250228,16,800
G8CSX5NCSXSL250315A,15,750
G8CSX5NCSXSL250317,24,1200
G8CSX5NCSXSL250322A,15,750
G8CSX5NCSXSL250326,24,1200
G8CSX5NCSXSL250331,24,1200
G8CSX5NCSXSL250331B,20,1000
G8CSX5NCSXSL250401,23,1150
G8CSX5NCSXSL250402,24,1200
G8CSX5NCSXSL250406,22,1100
G8CSX5NCSXSL250419,24,1200
G8CSX5NCSXSL250420A,23,1150
G8CSX5NCSXSL250430A,13,650
G8CSX5NCSXSL250504,26,1300
G8CSX5NCSXSL250514A,19,950
G8CSX5NCSXSL250519,24,1200
G8CSX5NCSXSL250524A,25,1250
G8CSX5NCSXSL250529A,16,800
G8CSX5NCSXSL250529B,18,900
G8CSX5NCSXSL250530,19,950
G8CSX5NCSXSL250614A,19,950
G8CSX5NCSXSL250623,15,750
G8CSX5NCSXSL250629TR,24,1200
G8CSX5NCSXSL250703,24,1200
G8CSX5NCSXSL250718,15,750
G8CSX5NCSXSL250827,10,500
G8CSX5NCSXSL250828TR,15,750
G8CSX5NCSXSL250906,14,700
G8CSX5NCSXSL250907,19,950
G8CSX5NCSXSL250921,18,900
G8CSX5NCSXSL250922,9,450
G8CSX5NCSXSL251013,24,1200
G8CSX5NCSXSL251013B,13,650
G8CSX5NCSXSL251017,25,1250
G8CSX5NCSXSL251018,19,950
G8CSX5NCSXSL251022,24,1200
G8CSX5NCSXSL251023,23,1150
G8CSX5NCSXSL251026,15,750
G8CSX5NCSXSL251028,24,1200
G8CSX5NCSXSL251031A,22,1100
G8CSX5NCSXSL251102A,19,950
G8CSX5NCSXSL251105,20,1000
G8CSX5NCSXSL251107A,24,1200
G8CSX5NCSXSL251107B,24,1200
G8CSX5NCSXSL251107C,11,550
G8CSX5NCSXSL251111,24,1200
G8CSX5NCSXSL251112A,19,950
G8CSX5NCSXSL251112B,19,950
G8CSX5NCSXSL251115,24,1200
G8CSX5NCSXSL251121,23,1150
G8CSX5NCSXSL251125,18,900
G8CSX5NCSXSL251127A,26,1300
G8CSX5NCSXSL251130,15,750
G8CSX5NCSXSL251202,20,1000
G8CSX5NCSXSL251207A,17,850
G8CSX5NCSXSL251211,15,750
G8CSX5NCSXSL251212,13,650
G8CSX5NCSXSL251216,13,650
G8CSX5NCSXSL251221,20,1000
G8CSX5NCSXSL251222,11,550
G8CSX5NCSXSL251225A1,24,1200
G8CSX5NCSXVZ250417,28,1400
G8CSX5NCSXVZ250426,27,1350
G8CSX5NCSXVZ250809,16,800
G8HRB5NHRBCZ250103,10,500
G8HRB5NHRBCZ250104A,15,750
G8HRB5NHRBCZ250104B,17,850
G8HRB5NHRBCZ250110,1,50
G8HRB5NHRBCZ250111A,13,650
G8HRB5NHRBCZ250111B,18,900
G8HRB5NHRBCZ250111TR,14,700
G8HRB5NHRBCZ250112,11,550
